action,count,fce,mean_debt_after,progress,role,role_action_ratio,waste
send_actionable,261.0,149.50136399999997,16.889464855977018,66.97124299999999,planner,0.6304347826086957,0.0
send_informational_only,111.0,9.352601600000002,22.75059138108108,17.22703785,planner,0.2681159420289855,0.0
verify_first,20.0,0.0,33.00901860799999,0.0,planner,0.0483091787439613,0.0
defer,22.0,0.0,39.40794383772728,0.0,planner,0.0531400966183574,0.0
reject,0.0,0.0,0.0,0.0,planner,0.0,0.0
send_actionable,91.0,214.4285377500001,12.868563369670328,61.82195400000001,executor,0.2198067632850241,0.0
send_informational_only,239.0,92.11132605000005,19.964235045146445,88.13201979999997,executor,0.5772946859903382,0.0
verify_first,42.0,0.0,33.3621700895238,0.0,executor,0.1014492753623188,0.0
defer,42.0,0.0,39.346965368333336,0.0,executor,0.1014492753623188,0.0
reject,0.0,0.0,0.0,0.0,executor,0.0,0.0
send_actionable,66.0,9.88320175,13.265867818636362,7.312695999999999,verifier,0.1594202898550724,0.0
send_informational_only,28.0,1.14118405,23.265967744642857,1.4094184500000002,verifier,0.0676328502415458,0.0
verify_first,110.0,0.0,23.395997188,0.0,verifier,0.2657004830917874,0.0
defer,91.0,0.0,37.64808142978022,0.0,verifier,0.2198067632850241,0.0
reject,119.0,0.0,13.50683269453781,0.0,verifier,0.28743961352657,0.0
send_actionable,109.0,195.5757715,22.07930044348624,51.591778,network_controller,0.2632850241545894,23.67742
send_informational_only,216.0,70.0510737,19.181852475185185,58.69621285,network_controller,0.5217391304347826,8.322500000000002
verify_first,37.0,0.0,33.16506966945947,0.0,network_controller,0.0893719806763285,0.0
defer,52.0,0.0,38.67322240730769,0.0,network_controller,0.1256038647342995,0.0
reject,0.0,0.0,0.0,0.0,network_controller,0.0,0.0
